gh_id,year,month,lon,lat,obs_mm,era5_mm,err_mm,abs_err_mm,rel_err_pct
KALNCIEM,2024,9,23.61654,56.79878,54.7,50.585827,-4.114174,4.114174,-7.521342
KULDIGA,2024,9,21.961111,56.9867,47.2,52.556305,5.356304,5.356304,11.348102
LIELPECI,2024,9,24.713888,56.80417,34.6,45.43031,10.830311,10.830311,31.301477
PIEDRUJA,2024,9,27.451944,55.79498,13.0,27.017107,14.017107,14.017107,107.8239
RIAI99PA,2024,9,24.365967,57.867905,62.7,53.038857,-9.661144,9.661144,-15.408524
RIAL99MS,2024,9,27.035378,57.43958,36.3,44.7809,8.4809,8.4809,23.363361
RIBA99PA,2024,9,24.221777,56.379196,76.3,45.314495,-30.985508,30.985508,-40.610104
RIDAGDA,2024,9,27.56,56.107224,13.0,25.731766,12.731766,12.731766,97.93666
RIDM99MS,2024,9,26.61744,55.869846,22.9,33.25315,10.353151,10.353151,45.21027
RIDO99MS,2024,9,23.319633,56.619904,39.6,49.905632,10.305634,10.305634,26.024326
RIGASLU,2024,9,24.104687,56.954796,39.7,54.631542,14.931541,14.931541,37.610935
RIGU99MS,2024,9,26.718834,57.132217,18.5,47.131134,28.631134,28.631134,154.7629
RIJE99PA,2024,9,23.964077,56.55693,58.6,47.9413,-10.658699,10.658699,-18.188908
RIKO99PA,2024,9,22.587881,57.747,71.3,4.0956206,-67.204384,67.204384,-94.25579
RILP99PA,2024,9,21.020641,56.47545,80.9,13.899517,-67.00049,67.00049,-82.81889
RIMADONA,2024,9,26.2375,56.8483,48.4,53.606647,5.206646,5.206646,10.757533
RIME99MS,2024,9,23.11318,57.333233,69.7,33.61553,-36.08447,36.08447,-51.771122
RIPA99PA,2024,9,21.189594,56.88834,95.8,70.516525,-25.283478,25.283478,-26.39194
RIPR99PA,2024,9,25.337984,57.315613,46.9,53.853416,6.953415,6.953415,14.826044
RIREZEKN,2024,9,27.357136,56.479862,22.6,33.775505,11.175505,11.175505,49.449135
RIRU99PA,2024,9,25.371796,57.886486,54.3,56.667618,2.3676186,2.3676186,4.3602552
RISA99PA,2024,9,22.426743,56.71014,44.7,52.604183,7.9041824,7.9041824,17.682734
RISE99MS,2024,9,24.412186,57.30063,33.9,7.28442,-26.615582,26.615582,-78.51204
RISI99PA,2024,9,25.12835,56.642475,48.7,52.81347,4.113468,4.113468,8.446547
RIST99PA,2024,9,22.550764,57.18339,46.6,45.644115,-0.955883,0.955883,-2.0512512
RIVE99PA,2024,9,21.537302,57.39556,98.5,2.7982852,-95.70171,95.70171,-97.1591
RIZI99PA,2024,9,25.918184,56.51996,30.7,57.444164,26.744164,26.744164,87.11454
RIZO99MS,2024,9,25.905619,57.13508,71.4,54.64778,-16.75222,16.75222,-23.462492
RUCAVA,2024,9,21.17322,56.16202,81.3,67.128586,-14.171417,14.171417,-17.431017
SIGULDA,2024,9,24.8533,57.165,38.6,50.890465,12.290466,12.290466,31.840588
SILI,2024,9,26.34639,56.33917,15.8,47.060226,31.260227,31.260227,197.84953
VICAKI,2024,9,21.862776,57.548206,108.5,33.15437,-75.34563,75.34563,-69.44298
