gh_id,year,month,lon,lat,obs_mm,era5_mm,err_mm,abs_err_mm,rel_err_pct
KALNCIEM,2024,9,23.61654,56.79878,54.7,50.45449,-4.24551,4.24551,-7.761444
KULDIGA,2024,9,21.961111,56.9867,47.2,52.62292,5.42292,5.42292,11.489238
LIELPECI,2024,9,24.713888,56.80417,34.6,45.429028,10.829029,10.829029,31.297773
PIEDRUJA,2024,9,27.451944,55.79498,13.0,26.294363,13.294363,13.294363,102.264336
RIAI99PA,2024,9,24.365967,57.867905,62.7,67.45077,4.7507668,4.7507668,7.5769806
RIAL99MS,2024,9,27.035378,57.43958,36.3,45.158466,8.858467,8.858467,24.403492
RIBA99PA,2024,9,24.221777,56.379196,76.3,45.57801,-30.721992,30.721992,-40.264732
RIDAGDA,2024,9,27.56,56.107224,13.0,24.810778,11.810778,11.810778,90.852135
RIDM99MS,2024,9,26.61744,55.869846,22.9,33.584133,10.684134,10.684134,46.655605
RIDO99MS,2024,9,23.319633,56.619904,39.6,49.908543,10.308544,10.308544,26.03168
RIGASLU,2024,9,24.104687,56.954796,39.7,55.401386,15.7013855,15.7013855,39.55009
RIGU99MS,2024,9,26.718834,57.132217,18.5,47.767704,29.267704,29.267704,158.20381
RIJE99PA,2024,9,23.964077,56.55693,58.6,48.070026,-10.529972,10.529972,-17.969236
RIKO99PA,2024,9,22.587881,57.747,71.3,0.0,-71.3,71.3,-100.0
RILP99PA,2024,9,21.020641,56.47545,80.9,0.0,-80.9,80.9,-100.0
RIMADONA,2024,9,26.2375,56.8483,48.4,53.859676,5.459675,5.459675,11.28032
RIME99MS,2024,9,23.11318,57.333233,69.7,57.990696,-11.709301,11.709301,-16.799572
RIPA99PA,2024,9,21.189594,56.88834,95.8,78.14231,-17.657692,17.657692,-18.43183
RIPR99PA,2024,9,25.337984,57.315613,46.9,54.17229,7.2722893,7.2722893,15.505947
RIREZEKN,2024,9,27.357136,56.479862,22.6,33.62507,11.025068,11.025068,48.783485
RIRU99PA,2024,9,25.371796,57.886486,54.3,57.33548,3.0354805,3.0354805,5.5902033
RISA99PA,2024,9,22.426743,56.71014,44.7,52.553276,7.8532753,7.8532753,17.568848
RISE99MS,2024,9,24.412186,57.30063,33.9,0.0,-33.9,33.9,-100.0
RISI99PA,2024,9,25.12835,56.642475,48.7,53.145344,4.445343,4.445343,9.128014
RIST99PA,2024,9,22.550764,57.18339,46.6,45.774223,-0.82577515,0.82577515,-1.7720498
RIVE99PA,2024,9,21.537302,57.39556,98.5,0.0,-98.5,98.5,-100.0
RIZI99PA,2024,9,25.918184,56.51996,30.7,57.936234,27.236233,27.236233,88.71737
RIZO99MS,2024,9,25.905619,57.13508,71.4,55.11602,-16.283981,16.283981,-22.806696
RUCAVA,2024,9,21.17322,56.16202,81.3,66.27565,-15.024353,15.024353,-18.480139
SIGULDA,2024,9,24.8533,57.165,38.6,51.652622,13.052624,13.052624,33.81509
SILI,2024,9,26.34639,56.33917,15.8,47.646595,31.846596,31.846596,201.56073
VICAKI,2024,9,21.862776,57.548206,108.5,61.897747,-46.602253,46.602253,-42.951385
