gh_id,year,month,lon,lat,obs_mm,era5_mm,err_mm,abs_err_mm,rel_err_pct
KULDIGA,2013,1,21.961111,56.9867,39.3,55.73338,16.43338,16.43338,41.81522
RIAI99PA,2013,1,24.365967,57.867905,40.1,44.157177,4.0571785,4.0571785,10.117652
RIBA99PA,2013,1,24.221777,56.379196,28.5,44.486885,15.986885,15.986885,56.094337
RIGASLU,2013,1,24.104687,56.954796,32.4,52.85043,20.450428,20.450428,63.1186
RIKO99PA,2013,1,22.587881,57.747,37.5,3.0322173,-34.46778,34.46778,-91.91408
RILP99PA,2013,1,21.020641,56.47545,51.2,13.089041,-38.110962,38.110962,-74.43547
RIMADONA,2013,1,26.2375,56.8483,41.4,41.90224,0.5022392,0.5022392,1.2131382
RISA99PA,2013,1,22.426743,56.71014,39.2,54.685547,15.485546,15.485546,39.503944
RIZO99MS,2013,1,25.905619,57.13508,43.7,45.095455,1.3954544,1.3954544,3.1932597
RUCAVA,2013,1,21.17322,56.16202,73.3,60.542194,-12.757809,12.757809,-17.404922
VICAKI,2013,1,21.862776,57.548206,59.2,26.197327,-33.002674,33.002674,-55.74776
