gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,68.9000015258789,57.97163772583008,-10.928363800048828,41.08024764640912,-27.819753879469786,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,31.299999237060547,24.477773666381836,-6.822225570678711,40.281240877976096,8.981241640915549,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,16.799999237060547,23.76931381225586,6.9693145751953125,15.399822140930192,-1.4001770961303546,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,30.700000762939453,34.60230255126953,3.902301788330078,49.05865887835763,18.35865811541818,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,36.599998474121094,37.63343048095703,1.0334320068359375,30.327715896062777,-6.2722825780583165,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,10.699999809265137,17.169559478759766,6.469559669494629,16.63212292192274,5.932123112657603,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,14.600000381469727,26.04027557373047,11.440275192260742,24.784940699896005,10.184940318426278,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,20.799999237060547,25.822406768798828,5.022407531738281,22.667046307444636,1.8670470703840891,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,16.200000762939453,10.169012069702148,-6.030988693237305,25.612087076082464,9.41208631314301,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,40.099998474121094,44.508705139160156,4.4087066650390625,67.12936435356119,27.029365879440093,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,43.70000076293945,61.76899337768555,18.068992614746094,64.53201145364359,20.832010690704138,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,22.200000762939453,16.13875961303711,-6.061241149902344,16.371468319246823,-5.82853244369263,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,24.100000381469727,22.4720458984375,-1.6279544830322266,37.332434092309526,13.2324337108398,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,47.099998474121094,42.22675323486328,-4.8732452392578125,55.39232559623613,8.292327122115033,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,27.600000381469727,26.186630249023438,-1.413370132446289,16.299553467261823,-11.300446914207903,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,29.5,29.281705856323242,-0.2182941436767578,26.981726235529052,-2.5182737644709476,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,28.799999237060547,41.937313079833984,13.137313842773438,56.97810351805009,28.178104280989544,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,19.700000762939453,13.430336952209473,-6.2696638107299805,24.37827707862262,4.678276315683167,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,32.5,22.038129806518555,-10.461870193481445,26.398183374348907,-6.101816625651093,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,21.0,14.841958045959473,-6.158041954040527,10.699999809265137,-10.300000190734863,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,19.299999237060547,21.66554069519043,2.365541458129883,30.35400426137608,11.054005024315533,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,91.0,54.33849334716797,-36.66150665283203,42.900843659225885,-48.099156340774115,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,16.899999618530273,25.134124755859375,8.234125137329102,13.621097199926872,-3.2789024186034013,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,24.299999237060547,24.40266227722168,0.10266304016113281,14.759812058758145,-9.540187178302402,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,70.0999984741211,30.586963653564453,-39.51303482055664,36.1076463702434,-33.99235210387769,11.3991771274633,18.86,324465.15625,227710.28125
