year,month,stations,gridpp_mae,gridpp_rmse,gridpp_bias,uk_mae,uk_rmse,uk_bias,out_dir
2025,1,25,23.582,27.726,2.374,17.937,22.811,0.577,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_01
2025,2,25,5.718,7.718,1.411,3.751,5.242,-0.141,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_02
2025,3,25,6.359,7.695,1.424,6.341,7.910,-0.216,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_03
2025,4,25,10.766,14.952,0.396,10.128,13.948,0.551,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_04
2025,5,25,20.088,26.207,4.762,17.206,23.373,0.610,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_05
2025,6,24,14.544,19.073,1.924,12.225,15.289,0.480,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_06
2025,7,25,27.895,34.449,9.580,21.796,31.437,-0.598,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_07
2025,8,25,20.566,24.983,4.811,29.666,35.056,-0.639,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_08
2025,9,25,11.855,15.433,1.422,12.980,15.530,-0.207,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_09
2025,10,25,10.906,14.063,-0.219,11.737,15.069,-0.414,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_10
2025,11,25,9.181,13.177,0.282,13.405,17.557,0.068,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_11
2025,12,25,8.578,10.837,1.161,7.308,9.251,0.214,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps0.1_L40000_p0_r0_ukR40000/2025_12
