gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,12.399999618530273,12.261436462402344,-0.1385631561279297,12.714568278206393,0.31456865967611947,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,11.399999618530273,20.5091552734375,9.109155654907227,8.0,-3.3999996185302734,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,11.0,9.058767318725586,-1.941232681274414,14.440191701526787,3.4401917015267873,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,22.200000762939453,20.648584365844727,-1.5514163970947266,18.917347920063275,-3.2826528428761783,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,21.899999618530273,23.66413116455078,1.7641315460205078,15.59171122374834,-6.308288394781933,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,16.200000762939453,6.7661237716674805,-9.433876991271973,14.740447953029872,-1.4595528099095816,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,30.100000381469727,12.146102905273438,-17.95389747619629,12.961110298886972,-17.138890082582755,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,15.800000190734863,11.006147384643555,-4.793852806091309,15.65510119649505,-0.14489899423981356,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,8.399999618530273,16.66348648071289,8.263486862182617,18.264918425548682,9.864918807018409,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,17.5,20.88558006286621,3.385580062866211,17.988808210911998,0.4888082109119978,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,18.399999618530273,19.607566833496094,1.2075672149658203,18.273598315561077,-0.12640130296919594,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,13.199999809265137,15.211271286010742,2.0112714767456055,15.917048414918984,2.717048605653847,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,17.0,33.08566665649414,16.08566665649414,18.01888410657546,1.0188841065754595,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,23.0,19.34572410583496,-3.654275894165039,21.241427375976304,-1.7585726240236959,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,8.0,8.590773582458496,0.5907735824584961,12.709816131752648,4.709816131752648,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,16.299999237060547,23.936307907104492,7.636308670043945,22.120192221462354,5.820192984401807,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,9.600000381469727,13.433919906616211,3.8339195251464844,10.223785185930103,0.6237848044603762,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,8.899999618530273,20.053550720214844,11.15355110168457,13.813817766811983,4.91381814828171,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,13.800000190734863,23.50599479675293,9.705994606018066,17.636275483159267,3.8362752924244035,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,17.700000762939453,18.742671966552734,1.0426712036132812,15.086277113768212,-2.6137236491712414,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,21.200000762939453,8.910850524902344,-12.28915023803711,13.754180101115828,-7.445820661823625,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,18.799999237060547,31.08188247680664,12.281883239746094,24.5202711465693,5.720271909508753,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,15.100000381469727,12.953062057495117,-2.1469383239746094,16.760282173727045,1.6602817922573188,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,11.600000381469727,12.909158706665039,1.3091583251953125,8.0,-3.6000003814697266,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,13.600000381469727,13.367952346801758,-0.23204803466796875,12.221733855242876,-1.3782665262268505,11.3991771274633,18.86,324465.15625,227710.28125
